"","Price","Age","KM","FuelType","HP","MetColor","Automatic","CC","Doors","Weight"
"0",13500,1.917,46986,"Diesel","90",1,0,2000,"three",1165
"1",13750,1.917,72937,"Diesel","90",1,0,2000,"3",1165
"3",14950,2.167,48000,"Diesel","90",0,0,2000,"3",1165
"4",13750,2.5,38500,"Diesel","90",0,0,2000,"3",1170
"5",12950,2.667,61000,"Diesel","90",0,0,2000,"3",1170
"7",18600,2.5,75889,"","90",1,0,2000,"3",1245
"8",21500,2.25,19700,"Petrol","192",0,0,1800,"3",1185
"10",20950,2.083,31461,"Petrol","192",0,0,1800,"3",1185
"11",19950,1.833,43610,"Petrol","192",0,0,1800,"3",1185
"12",19600,2.083,32189,"Petrol","192",0,0,1800,"3",1185
"13",21500,2.583,23000,"Petrol","192",1,0,1800,"3",1185
"14",22500,2.667,34131,"Petrol","192",1,0,1800,"3",1185
"15",22000,2.333,18739,"Petrol","????",0,0,1800,"3",1185
"16",22750,2.5,34000,"Petrol","192",1,0,1800,"3",1185
"17",17950,2,21716,"Petrol","110",1,0,1600,"3",1105
"18",16750,2,25563,"Petrol","110",0,0,1600,"3",1065
"19",16950,2.5,64359,"Petrol","110",1,0,1600,"3",1105
"20",15950,2.5,67660,"Petrol","110",1,0,1600,"3",1105
"21",16950,2.417,43905,"","110",0,1,1600,"3",1170
"22",15950,2.333,56349,"Petrol","110",1,0,1600,"3",1120
"23",16950,2.333,32220,"Petrol","110",1,0,1600,"3",1120
"24",16250,2.417,25813,"Petrol","110",1,0,1600,"3",1120
"25",15950,2.083,28450,"Petrol","110",1,0,1600,"3",1120
"26",17495,2.25,34545,"","110",1,0,1600,"3",1120
"27",15750,2.417,41415,"Petrol","110",1,0,1600,"3",1120
"28",16950,2.333,44142,"Petrol","110",0,0,1600,"3",1120
"30",12950,2.417,9750,"Petrol","97",1,0,1400,"3",1100
"31",15750,1.833,35199,"Petrol","97",1,0,1400,"3",1100
"32",15950,2.25,29510,"Petrol","97",1,0,1400,"3",1100
"34",15500,1.833,41000,"Petrol","97",1,0,1400,"3",1100
"35",15750,2.167,43000,"Petrol","97",0,0,1400,"3",1100
"36",15950,2.083,25000,"Petrol","97",0,0,1400,"3",1100
"37",14950,1.917,10000,"Petrol","97",1,0,1400,"3",1100
"38",15750,2.667,25329,"Petrol","97",1,0,1400,"3",1100
"39",14750,2.25,27500,"Petrol","97",0,0,1400,"3",1100
"40",13950,1.833,49059,"Petrol","97",0,0,1400,"3",1100
"41",16750,2.25,44068,"Petrol","97",1,0,1400,"3",1100
"42",13950,1.833,46961,"Petrol","97",0,0,1400,"3",1100
"44",16950,1.833,100250,"","90",0,0,2000,"5",1255
"46",17950,2.25,79375,"Diesel","90",1,0,2000,"5",1255
"47",15800,1.833,75048,"Petrol","97",1,0,1400,"5",1110
"48",17950,1.833,72215,"Diesel","90",1,0,2000,"5",1255
"50",17950,1.833,62636,"Diesel","90",1,0,2000,"5",1255
"51",15750,2.5,57086,"Petrol","97",1,0,1400,"5",1110
"52",20500,2.167,56000,"Petrol","110",1,1,1600,"5",1180
"53",21950,2.25,49866,"Petrol","192",1,0,1800,"5",1195
"54",15500,2.083,49163,"Petrol","110",0,1,1600,"5",1165
"56",15250,2.333,43210,"Petrol","97",0,0,1400,"5",1110
"57",15250,2.167,43000,"Petrol","97",0,0,1400,"5",1110
"58",18950,1.917,39704,"Petrol","110",1,1,1600,"5",1180
"59",15999,2.5,38950,"Petrol","110",1,0,1600,"5",1130
"60",14950,1.833,37400,"","97",1,0,1400,"5",1110
"62",18750,2.583,36544,"Petrol","110",1,0,1600,"5",1130
"63",17950,2.5,33511,"Petrol","110",1,0,1600,"5",1130
"64",17950,2.25,0,"Petrol","97",1,0,1400,"5",1110
"65",16950,2.167,32181,"Petrol","110",1,0,1600,"5",1075
"66",18950,2.333,30993,"Petrol","110",1,0,1600,"5",1130
"67",14950,1.833,30400,"Petrol","97",1,0,1400,"5",1110
"68",22250,1.833,30000,"Diesel","110",1,0,2000,"5",1275
"70",15950,2.333,29206,"Petrol","97",1,0,1400,"5",1110
"71",12995,2.667,29198,"Petrol","97",1,0,1400,"5",1060
"72",18950,2.333,28817,"Petrol","110",1,0,1598,"5",1130
"73",15750,1.917,28227,"Petrol","97",1,0,1400,"5",1110
"74",19950,2.333,28000,"Petrol","110",0,0,1600,"5",1130
"75",16950,1.917,28000,"Petrol","110",1,0,1600,"5",1115
"76",18750,2.583,25266,"Petrol","110",1,0,1600,"5",1130
